Skill ID,Skill Name,Category
1,Python,Programming Languages
2,Java,Programming Languages
3,C++,Programming Languages
4,C#,Programming Languages
5,JavaScript,Programming Languages
6,TypeScript,Programming Languages
7,PHP,Programming Languages
8,Ruby,Programming Languages
9,Swift,Programming Languages
10,Go,Programming Languages
11,Rust,Programming Languages
12,Kotlin,Programming Languages
13,Scala,Programming Languages
14,Perl,Programming Languages
15,R,Programming Languages
16,MATLAB,Programming Languages
17,Objective-C,Programming Languages
18,Dart,Programming Languages
19,Elixir,Programming Languages
20,Clojure,Programming Languages
21,Haskell,Programming Languages
22,Lua,Programming Languages
23,Groovy,Programming Languages
24,Julia,Programming Languages
25,Crystal,Programming Languages
26,Nim,Programming Languages
27,Zig,Programming Languages
28,V,Programming Languages
29,OCaml,Programming Languages
30,F#,Programming Languages
31,Fortran,Programming Languages
32,COBOL,Programming Languages
33,Assembly,Programming Languages
34,Bash,Programming Languages
35,Shell,Programming Languages
36,PowerShell,Programming Languages
37,SQL,Programming Languages
38,PL/SQL,Programming Languages
39,T-SQL,Programming Languages
40,HTML,Programming Languages
41,CSS,Programming Languages
42,Sass,Programming Languages
43,LESS,Programming Languages
44,Markdown,Programming Languages
45,YAML,Programming Languages
46,JSON,Programming Languages
47,XML,Programming Languages
48,GraphQL,Programming Languages
49,Protocol Buffers,Programming Languages
50,Solidity,Programming Languages
51,Vyper,Programming Languages
52,Django,Programming Languages
53,Flask,Programming Languages
54,FastAPI,Programming Languages
55,React,Programming Languages
56,Angular,Programming Languages
57,Vue.js,Programming Languages
58,Node.js,Programming Languages
59,Spring Boot,Programming Languages
60,.NET,Programming Languages
61,ASP.NET,Programming Languages
62,Ruby on Rails,Programming Languages
63,Laravel,Programming Languages
64,Symfony,Programming Languages
65,Express.js,Programming Languages
66,Next.js,Programming Languages
67,Nuxt.js,Programming Languages
68,Svelte,Programming Languages
69,Ember.js,Programming Languages
70,Backbone.js,Programming Languages
71,Meteor,Programming Languages
72,jQuery,Programming Languages
73,Bootstrap,Programming Languages
74,Tailwind CSS,Programming Languages
75,Material-UI,Programming Languages
76,Ant Design,Programming Languages
77,Chakra UI,Programming Languages
78,Foundation,Programming Languages
79,Bulma,Programming Languages
80,Semantic UI,Programming Languages
81,D3.js,Programming Languages
82,Three.js,Programming Languages
83,Chart.js,Programming Languages
84,WebGL,Programming Languages
85,WebRTC,Programming Languages
86,WebSocket,Programming Languages
87,Socket.io,Programming Languages
88,Redux,Programming Languages
89,MobX,Programming Languages
90,Vuex,Programming Languages
91,NgRx,Programming Languages
92,RxJS,Programming Languages
93,Axios,Programming Languages
94,Fetch API,Programming Languages
95,Jest,Programming Languages
96,Mocha,Programming Languages
97,Chai,Programming Languages
98,Cypress,Programming Languages
99,Selenium,Programming Languages
100,Puppeteer,Programming Languages
101,Playwright,Web Frameworks
102,Webpack,Web Frameworks
103,Vite,Web Frameworks
104,Parcel,Web Frameworks
105,Rollup,Web Frameworks
106,Babel,Web Frameworks
107,ESLint,Web Frameworks
108,Prettier,Web Frameworks
109,Stylelint,Web Frameworks
110,Husky,Web Frameworks
111,Lint-Staged,Web Frameworks
112,NPM,Web Frameworks
113,Yarn,Web Frameworks
114,PNPM,Web Frameworks
115,Bun,Web Frameworks
116,Gulp,Web Frameworks
117,Grunt,Web Frameworks
118,Brunch,Web Frameworks
119,Browserify,Web Frameworks
120,RequireJS,Web Frameworks
121,SystemJS,Web Frameworks
122,JSPM,Web Frameworks
123,Snowpack,Web Frameworks
124,TurboPack,Web Frameworks
125,React Native,Web Frameworks
126,Flutter,Web Frameworks
127,Ionic,Web Frameworks
128,Xamarin,Web Frameworks
129,NativeScript,Web Frameworks
130,Apache Cordova,Web Frameworks
131,PhoneGap,Web Frameworks
132,SwiftUI,Web Frameworks
133,UIKit,Web Frameworks
134,Android SDK,Web Frameworks
135,Jetpack Compose,Web Frameworks
136,Kotlin Multiplatform,Web Frameworks
137,MAUI,Web Frameworks
138,Expo,Web Frameworks
139,Firebase,Web Frameworks
140,OneSignal,Web Frameworks
141,Branch,Web Frameworks
142,AppCenter,Web Frameworks
143,TestFlight,Web Frameworks
144,Google Play Console,Web Frameworks
145,App Store Connect,Web Frameworks
146,Fastlane,Web Frameworks
147,Bitrise,Web Frameworks
148,Codemagic,Web Frameworks
149,SQL,Web Frameworks
150,MySQL,Web Frameworks
151,PostgreSQL,Web Frameworks
152,MongoDB,Web Frameworks
153,Oracle,Web Frameworks
154,Redis,Web Frameworks
155,SQLite,Web Frameworks
156,MariaDB,Web Frameworks
157,Cassandra,Web Frameworks
158,CouchDB,Web Frameworks
159,DynamoDB,Web Frameworks
160,Cosmos DB,Web Frameworks
161,Firestore,Web Frameworks
162,Firebase Realtime Database,Web Frameworks
163,Neo4j,Web Frameworks
164,ArangoDB,Web Frameworks
165,OrientDB,Web Frameworks
166,JanusGraph,Web Frameworks
167,Elasticsearch,Web Frameworks
168,Solr,Web Frameworks
169,Splunk,Web Frameworks
170,InfluxDB,Web Frameworks
171,Prometheus,Web Frameworks
172,Graphite,Web Frameworks
173,TimescaleDB,Web Frameworks
174,CockroachDB,Web Frameworks
175,ClickHouse,Web Frameworks
176,Snowflake,Web Frameworks
177,BigQuery,Web Frameworks
178,Redshift,Web Frameworks
179,HBase,Web Frameworks
180,Hive,Web Frameworks
181,Hadoop,Mobile Development
182,Spark,Mobile Development
183,Kafka,Mobile Development
184,RabbitMQ,Mobile Development
185,ActiveMQ,Mobile Development
186,ZeroMQ,Mobile Development
187,NATS,Mobile Development
188,Redis Streams,Mobile Development
189,Memcached,Mobile Development
190,Varnish,Mobile Development
191,CDN,Mobile Development
192,Git,Mobile Development
193,GitHub,Mobile Development
194,Docker,Mobile Development
195,Kubernetes,Mobile Development
196,AWS,Mobile Development
197,Azure,Mobile Development
198,Google Cloud,Mobile Development
199,Jenkins,Mobile Development
200,Jira,Mobile Development
201,Terraform,Mobile Development
202,Ansible,Mobile Development
203,Puppet,Mobile Development
204,Chef,Mobile Development
205,SaltStack,Mobile Development
206,Vagrant,Mobile Development
207,Packer,Mobile Development
208,Consul,Mobile Development
209,Vault,Mobile Development
210,Nomad,Mobile Development
211,Helm,Databases
212,Kustomize,Databases
213,ArgoCD,Databases
214,Flux,Databases
215,Spinnaker,Databases
216,Tekton,Databases
217,GitLab CI,Databases
218,GitHub Actions,Databases
219,CircleCI,Databases
220,Travis CI,Databases
221,TeamCity,Databases
222,Bamboo,Databases
223,AWS EC2,Databases
224,AWS S3,Databases
225,AWS Lambda,Databases
226,AWS RDS,Databases
227,AWS DynamoDB,Databases
228,AWS CloudFormation,Databases
229,AWS CloudWatch,Databases
230,AWS IAM,Databases
231,AWS VPC,Databases
232,AWS Route53,Databases
233,AWS SNS,Databases
234,AWS SQS,Databases
235,AWS ECS,Databases
236,AWS EKS,Databases
237,AWS Fargate,Databases
238,AWS CodePipeline,Databases
239,AWS CodeBuild,Databases
240,Azure VM,Databases
241,Azure Blob Storage,Databases
242,Azure Functions,Databases
243,Azure SQL,Databases
244,Azure Cosmos DB,Databases
245,Azure Resource Manager,Databases
246,Azure Monitor,Databases
247,Azure Active Directory,Databases
248,Azure DevOps,Databases
249,Google Compute Engine,Databases
250,Google Cloud Storage,Databases
251,Google Cloud Functions,Databases
252,Google BigQuery,Databases
253,Google Cloud Run,Databases
254,Google Kubernetes Engine,Databases
255,DigitalOcean,Databases
256,Heroku,Databases
257,Netlify,Databases
258,Vercel,Databases
259,Cloudflare,Databases
260,Akamai,Databases
261,Fastly,DevOps & Cloud
262,Linode,DevOps & Cloud
263,Vultr,DevOps & Cloud
264,OVH,DevOps & Cloud
265,Alibaba Cloud,DevOps & Cloud
266,IBM Cloud,DevOps & Cloud
267,Oracle Cloud,DevOps & Cloud
268,Salesforce Cloud,DevOps & Cloud
269,ServiceNow,DevOps & Cloud
270,Workday,DevOps & Cloud
271,Machine Learning,DevOps & Cloud
272,Deep Learning,DevOps & Cloud
273,Data Science,DevOps & Cloud
274,Artificial Intelligence,DevOps & Cloud
275,TensorFlow,DevOps & Cloud
276,PyTorch,DevOps & Cloud
277,Keras,DevOps & Cloud
278,Scikit-learn,DevOps & Cloud
279,XGBoost,DevOps & Cloud
280,LightGBM,DevOps & Cloud
